Id: 9, wins: 182, params: [3.02749493e+00 2.37326155e+00 6.70337770e+00 4.32006700e+00
 3.71381505e-03]
Id: 34, wins: 176, params: [2.25768237 2.04252607 2.04651535 5.95784852 0.04963789]
Id: 62, wins: 150, params: [2.24526795 1.03339341 7.712076   4.85635935 0.0296615 ]
Id: 2, wins: 105, params: [ 4.51651669  4.07021521  3.78818535 10.55909759  0.14782585]
Id: 14, wins: 104, params: [1.38112754 4.81351677 1.99027489 7.63825834 0.13483437]
Id: 63, wins: 104, params: [4.89724066 4.82633236 3.13670978 3.63326342 0.20535873]
Id: 39, wins: 100, params: [2.11220895 4.84171382 3.99471212 5.32341575 0.23191469]
Id: 18, wins: 98, params: [1.64731544 3.89154873 1.11095731 6.58785046 0.93562907]
Id: 26, wins: 98, params: [1.03921107 1.24492534 4.65052701 3.93995977 0.99035652]
Id: 30, wins: 98, params: [1.81140897 4.18298658 3.89840674 9.32838753 0.92850441]
Id: 13, wins: 97, params: [4.78412605 3.45879346 4.71969972 3.51970213 0.67625118]
Id: 51, wins: 97, params: [4.85276283 4.88207619 2.5804302  7.39000588 0.56886356]
Id: 98, wins: 97, params: [4.86544688 4.53878235 1.69020077 4.30912629 0.79703381]
Id: 10, wins: 96, params: [3.44318263 4.1622957  5.09272874 5.74122208 0.7690741 ]
Id: 16, wins: 96, params: [ 2.62330542  4.9935287   1.00226729 10.68908681  0.69880447]
Id: 24, wins: 96, params: [2.79568086 1.58194778 2.35420841 7.2647017  0.99546572]
Id: 52, wins: 96, params: [2.54345593 4.89635774 5.39509665 7.03894877 0.82114389]
Id: 71, wins: 96, params: [ 4.19903439  2.95191437  4.16300918 10.41161755  0.87147152]
Id: 82, wins: 96, params: [1.8523187  2.25717158 1.04890278 1.65403742 0.54199264]
Id: 83, wins: 96, params: [2.13808671 1.60436906 5.26918285 9.56422514 0.88645887]
Id: 89, wins: 96, params: [4.36355527 4.32014993 1.60974133 2.41109219 0.89508771]
Id: 91, wins: 96, params: [ 3.71343347  1.48150865  5.42618762 11.03539969  0.78285006]
Id: 7, wins: 95, params: [3.74886885 4.21363257 5.61772382 1.82875824 0.61140677]
Id: 33, wins: 95, params: [4.86302857 1.79010756 5.23493674 1.4806312  0.72611072]
Id: 53, wins: 95, params: [3.6301785  3.08416027 4.48134541 3.56997448 0.62140824]
Id: 77, wins: 95, params: [ 4.3447283   2.31641489  2.18341265 10.2025571   0.63340961]
Id: 92, wins: 95, params: [4.01000785 2.33221401 6.13369882 8.08595761 0.6274185 ]
Id: 96, wins: 95, params: [3.41321318 1.55029525 4.51854984 2.37414738 0.59325273]
Id: 3, wins: 94, params: [2.97111868 3.25908793 6.84476672 6.26011945 0.73332127]
Id: 12, wins: 94, params: [2.44885561 3.39854494 3.93056896 4.73093878 0.50929118]
Id: 19, wins: 94, params: [ 4.14838555  1.19187613  4.47045276 10.46296007  0.07356692]
Id: 20, wins: 94, params: [2.68412347 1.49015667 6.7652133  5.08443406 0.52809328]
Id: 76, wins: 94, params: [3.36184763 3.86985197 7.53508285 8.68240762 0.75647477]
Id: 93, wins: 94, params: [ 3.46286587  2.88943021  6.99815615 10.81306681  0.80473215]
Id: 95, wins: 94, params: [2.07469871 2.96126943 6.88744681 5.93351311 0.75677825]
Id: 56, wins: 92, params: [4.48445321 1.72313352 4.02026131 1.5053385  0.11049066]
Id: 0, wins: 85, params: [4.64426467 4.46843345 1.60143427 7.75889195 1.79523919]
Id: 1, wins: 85, params: [2.29143848 3.18093555 6.57190031 8.99845705 1.4258028 ]
Id: 4, wins: 85, params: [4.78470267 4.30977704 2.00609986 1.63650852 1.67411035]
Id: 5, wins: 85, params: [1.19650084 4.84692166 7.48983921 9.01951649 1.74485932]
Id: 6, wins: 85, params: [ 4.52869696  3.56031184  1.11465305 10.75626982  1.7360576 ]
Id: 8, wins: 85, params: [2.32675232 4.11955916 4.74647539 3.4174225  1.74661211]
Id: 11, wins: 85, params: [2.21405339 3.64482418 4.93037406 3.7086457  1.32613271]
Id: 15, wins: 85, params: [1.61074442 4.80601546 4.62397452 3.3763392  1.60071829]
Id: 17, wins: 85, params: [ 1.54626699  3.07449224  5.04063023 11.44067837  1.8919921 ]
Id: 21, wins: 85, params: [3.10549947 4.12807759 1.1568842  2.75141262 1.58668448]
Id: 25, wins: 85, params: [1.38470535 4.35292148 2.75679894 5.24142354 1.7475351 ]
Id: 27, wins: 85, params: [3.92161129 1.37935357 7.51329166 5.35796726 1.21429138]
Id: 28, wins: 85, params: [ 3.4714802   4.51936357  6.71797001 11.83668131  1.23594719]
Id: 29, wins: 85, params: [3.45830346 2.36364703 1.39709496 9.52555311 1.45452459]
Id: 32, wins: 85, params: [3.89126273 1.28171894 3.07452369 6.88603001 1.93366523]
Id: 35, wins: 85, params: [4.94198344 3.17363394 4.65889501 9.64096313 1.16947772]
Id: 36, wins: 85, params: [2.82693623 4.66865347 5.54278696 5.08889321 1.03711215]
Id: 37, wins: 85, params: [ 4.06723091  3.85931458  5.48589828 11.29770858  1.64985877]
Id: 38, wins: 85, params: [ 4.45768548  1.04328184  1.54080168 11.77290675  1.34369786]
Id: 41, wins: 85, params: [1.27887817 1.65195899 1.07514552 5.36185148 1.502642  ]
Id: 42, wins: 85, params: [ 3.5709025   2.09617505  6.39384394 11.81993868  1.37933133]
Id: 45, wins: 85, params: [1.62995213 1.17333513 4.34144817 8.56129503 1.5190435 ]
Id: 46, wins: 85, params: [4.72868489 2.16888232 3.06239317 6.80879543 1.23892291]
Id: 47, wins: 85, params: [1.54157251 3.71645992 3.7363843  5.34615487 1.40059023]
Id: 48, wins: 85, params: [4.7306445  3.46725771 4.91211449 2.11223662 1.58485597]
Id: 49, wins: 85, params: [3.81095099 2.75464147 1.12274968 6.33726984 1.296624  ]
Id: 50, wins: 85, params: [2.08643724 2.3829225  7.9875793  8.93293865 1.58510301]
Id: 54, wins: 85, params: [2.34342189 1.93088929 3.14856931 8.17381408 1.81418632]
Id: 55, wins: 85, params: [4.66494941 1.87448011 6.86637263 5.87071149 1.75053503]
Id: 57, wins: 85, params: [2.88900615 4.52919194 1.13210856 5.93883328 1.25219174]
Id: 58, wins: 85, params: [3.43567604 2.9751897  3.63344563 5.09595987 1.21962791]
Id: 60, wins: 85, params: [4.04608822 4.59765657 6.07389666 5.43557724 1.1672449 ]
Id: 61, wins: 85, params: [2.0430877  3.10253721 3.72934263 1.10409223 1.27125205]
Id: 64, wins: 85, params: [2.92914243 4.16501526 4.02151022 7.21547304 1.27166115]
Id: 67, wins: 85, params: [4.56896121 1.93856419 4.02236557 7.02671103 1.93162279]
Id: 68, wins: 85, params: [1.80089347 2.93584482 1.34380226 8.18434488 1.50816252]
Id: 69, wins: 85, params: [ 2.47749493  1.25815292  1.8084417  10.09145319  1.71754152]
Id: 70, wins: 85, params: [1.92176505 2.92505243 7.53771263 9.80863543 1.14924855]
Id: 72, wins: 85, params: [3.68795882 4.05845453 3.12362716 5.6647262  1.9135055 ]
Id: 73, wins: 85, params: [1.16506465 2.10232978 4.26904264 3.62417427 1.150773  ]
Id: 74, wins: 85, params: [4.32079563 2.85473755 3.08668393 4.61439384 1.53447662]
Id: 75, wins: 85, params: [2.84242607 4.63945659 4.05075429 4.11850444 1.43296657]
Id: 79, wins: 85, params: [1.62840943 3.92771863 3.39483127 3.98212065 1.5455727 ]
Id: 80, wins: 85, params: [4.87748599 2.08792759 5.77964487 7.72078287 1.67894273]
Id: 84, wins: 85, params: [1.13423779 4.44190744 6.41503947 4.26845114 1.19952744]
Id: 85, wins: 85, params: [ 4.78740083  4.88897058  7.54535372 11.04759861  1.89726065]
Id: 86, wins: 85, params: [4.69918608 2.64954703 5.71392243 8.33616297 1.1591636 ]
Id: 87, wins: 85, params: [ 1.30065928  2.79591086  1.45805624 11.84499157  1.38190534]
Id: 88, wins: 85, params: [3.6652625  2.05401154 3.91456997 7.74604502 1.70619139]
Id: 90, wins: 85, params: [4.02816914 2.97833369 3.85640909 1.28052621 1.87770307]
Id: 40, wins: 84, params: [ 3.46185859  2.0761691   7.30787599 10.91608452  1.00580847]
Id: 23, wins: 79, params: [ 3.79475175  2.92359379  3.82803841 11.67772405  0.36514079]
Id: 31, wins: 76, params: [1.33602547 1.84203491 2.70442262 6.5292078  0.13756351]
Id: 66, wins: 33, params: [3.89537136 1.77779035 3.43746842 8.48512    0.3300844 ]
Id: 43, wins: 32, params: [4.147172   1.1501534  6.04421156 6.6518783  0.21959681]
Id: 78, wins: 32, params: [4.33780869 2.10626679 6.53465533 9.101957   0.24339883]
Id: 81, wins: 32, params: [ 3.23041325  2.61756388  4.62818896 11.67540265  0.22598447]
Id: 59, wins: 22, params: [1.66569219 2.37427213 3.59241717 7.59184945 0.23235995]
Id: 65, wins: 22, params: [1.69824781 2.93124638 5.06200103 7.00358327 0.1921446 ]
Id: 22, wins: 21, params: [1.73756123 2.85613589 1.42702099 7.65575359 0.174048  ]
Id: 44, wins: 21, params: [2.20829088 3.36045034 6.57774951 9.27802238 0.19463302]
Id: 99, wins: 15, params: [2.85749939 2.48300463 1.8290963  1.52532687 0.49537876]
Id: 94, wins: 12, params: [4.38414363 2.51575278 7.8391485  5.39495513 0.43157921]
Id: 97, wins: 12, params: [3.3217079  2.84750944 2.9327093  1.2141558  0.2902269 ]
